"from","to","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","from_iso","to_iso","avg","nd","TOTAL","PERC","NDX"
"Afghanistan","Estonia","0","0.000000","0.000000","0.000000","0.527284","0.000000","0.000000",0,0,0,0,0,"AFG","EST",0,0.252987409,71.8572324,0,0
"Afghanistan","Germany","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,1.389192,0,0,0,"AFG","DEU",0.2778384,0.15008984,71.8572324,0.00386653355160392,0.000580327402114863
"Afghanistan","Italy","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",70.560662,77.461335,63.82401,67.240792,64.975446,"AFG","ITA",68.812449,0.211710304,71.8572324,0.957627321588857,0.202739571372283
"Afghanistan","Lithuania","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,1.534725,0,0,"AFG","LTU",0.306945,0.257202643,71.8572324,0.00427159507468033,0.00109866554303356
"Afghanistan","Malawi","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,4.3,0,0,"AFG","MWI",0.86,0.491810578,71.8572324,0.0119681759410483,0.00588607552717268
"Afghanistan","Romania","0","0.000000","0.000000","-0.700304","0.000000","0.000000","0.000000",0,0,0,0,0,"AFG","ROU",0,0.25070976,71.8572324,0,0
"Afghanistan","Saudi Arabia","0","0.000000","1.000000","0.000000","1.000000","0.000000","0.000000",0,0,0,0,0,"AFG","SAU",0,0.341458032,71.8572324,0,0
"Afghanistan","United States","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",1,2,2,3,0,"AFG","USA",1.6,0.199021375,71.8572324,0.0222663738438109,0.00443148433865928
"Albania","Belgium","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,1.324424,1.390134,0,"ALB","BEL",0.5429116,0.205225833,47.6253778,0.0113996282041042,0.00233949819407759
"Albania","Bulgaria","0","0.000000","0.000000","0.000000","8.829528","-1.379932","0.000000",20.214597,20.42112,0,1.386659,0.736611,"ALB","BGR",8.5517974,0.223077829,47.6253778,0.179563875291715,0.0400567194669025
"Albania","Croatia","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,0,0.782646,0,"ALB","HRV",0.1565292,0.2074084,47.6253778,0.00328667628963145,0.000681684270550395
"Albania","Greece","0","0.000000","1.314455","0.000000","0.000000","0.000000","0.000000",0,0,1.324424,0,0.513945,"ALB","GRC",0.3676738,0.246449197,47.6253778,0.00772012353464207,0.00190261824585334
"Albania","Hungary","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,2.289663,2.571615,0.659616,1.530844,"ALB","HUN",1.4103476,0.211185316,47.6253778,0.0296133629831279,0.00625390741941456
"Albania","Italy","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",5.8886,19.490361,14.065387,86.007604,49.814081,"ALB","ITA",35.0532066,0.211710304,47.6253778,0.736019496731425,0.155822911402937
"Albania","Luxembourg","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,1.324424,1.390134,0,"ALB","LUX",0.5429116,0.129131919,47.6253778,0.0113996282041042,0.0014720558658825
"Albania","Romania","0","0.000000","0.000000","-1.343490","0.000000","0.000000","0.000000",0,0,0,0,0,"ALB","ROU",0,0.25070976,47.6253778,0,0
"Albania","Turkey","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,0,0,5,"ALB","TUR",1,0.277430808,47.6253778,0.02099720876125,0.00582527259237826
"Algeria","Belgium","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,77.794741,1.324424,83.408053,1.284862,"DZA","BEL",32.762416,0.205225833,253.274991,0.129355116628945,0.0265470115629874
