"from","to","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Afghanistan","Estonia","0","0.000000","0.000000","0.000000","0.527284","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Afghanistan","Germany","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.389192","0.000000","0.000000","0.000000"
"Afghanistan","Italy","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","70.560662","77.461335","63.824010","67.240792","64.975446"
"Afghanistan","Lithuania","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.534725","0.000000","0.000000"
"Afghanistan","Malawi","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","4.300000","0.000000","0.000000"
"Afghanistan","Romania","0","0.000000","0.000000","-0.700304","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Afghanistan","Saudi Arabia","0","0.000000","1.000000","0.000000","1.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Afghanistan","United States","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.000000","2.000000","2.000000","3.000000","0.000000"
"Albania","Belgium","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.324424","1.390134","0.000000"
"Albania","Bulgaria","0","0.000000","0.000000","0.000000","8.829528","-1.379932","0.000000","20.214597","-20.421120","0.000000","1.386659","0.736611"
"Albania","Croatia","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.782646","0.000000"
"Albania","Greece","0","0.000000","1.314455","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.324424","0.000000","0.513945"
"Albania","Hungary","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-2.289663","2.571615","0.659616","1.530844"
"Albania","Italy","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-5.888600","19.490361","14.065387","86.007604","-49.814081"
"Albania","Luxembourg","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.324424","1.390134","0.000000"
"Albania","Romania","0","0.000000","0.000000","-1.343490","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"Albania","Turkey","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","5.000000"
"Algeria","Belgium","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-77.794741","-1.324424","83.408053","1.284862"
"Algeria","France","4.47423289277053","56.467931","12.414873","9.933384","-7.461573","-18.817248","57.484007","19.042736","30.562220","-9.270971","-43.094161","0.000000"
"Algeria","Germany","0","0.941132","0.000000","0.000000","0.000000","0.000000","6.843334","4.394478","9.724343","0.000000","0.000000","0.000000"
"Algeria","Italy","0","3.179145","0.000000","0.000000","14.562503","33.177317","-15.431719","12.465668","36.758015","42.831884","206.156904","-101.247087"
