"from","to","n","from_iso","to_iso"
"Afghanistan","Afghanistan",NA,"AFG","AFG"
"Albania","Afghanistan",NA,"ALB","AFG"
"Algeria","Afghanistan",NA,"DZA","AFG"
"American Samoa","Afghanistan",NA,"ASM","AFG"
"Andorra","Afghanistan",NA,"AND","AFG"
"Angola","Afghanistan",NA,"AGO","AFG"
"Antigua and Barbuda","Afghanistan",NA,"ATG","AFG"
"Argentina","Afghanistan",NA,"ARG","AFG"
"Armenia","Afghanistan",NA,"ARM","AFG"
"Aruba","Afghanistan",NA,"ABW","AFG"
"Australia","Afghanistan",NA,"AUS","AFG"
"Austria","Afghanistan",NA,"AUT","AFG"
"Azerbaijan","Afghanistan",NA,"AZE","AFG"
"Bahamas, The","Afghanistan",NA,"BHS","AFG"
"Bahrain","Afghanistan",NA,"BHR","AFG"
"Bangladesh","Afghanistan",NA,"BGD","AFG"
"Barbados","Afghanistan",NA,"BRB","AFG"
"Belarus","Afghanistan",NA,"BLR","AFG"
"Belgium","Afghanistan",NA,"BEL","AFG"
"Belize","Afghanistan",NA,"BLZ","AFG"
"Benin","Afghanistan",NA,"BEN","AFG"
"Bermuda","Afghanistan",NA,"BMU","AFG"
"Bhutan","Afghanistan",NA,"BTN","AFG"
"Bolivia","Afghanistan",NA,"BOL","AFG"
"Bosnia and Herzegovina","Afghanistan",NA,"BIH","AFG"
"Botswana","Afghanistan",NA,"BWA","AFG"
"Brazil","Afghanistan",NA,"BRA","AFG"
"Brunei Darussalam","Afghanistan",NA,"BRN","AFG"
"Bulgaria","Afghanistan",NA,"BGR","AFG"
"Burkina Faso","Afghanistan",NA,"BFA","AFG"
"Burundi","Afghanistan",NA,"BDI","AFG"
"Cambodia","Afghanistan",NA,"KHM","AFG"
"Cameroon","Afghanistan",NA,"CMR","AFG"
"Canada","Afghanistan",NA,"CAN","AFG"
"Cape Verde","Afghanistan",NA,"CPV","AFG"
"Cayman Islands","Afghanistan",NA,"CYM","AFG"
"Central African Republic","Afghanistan",NA,"CAF","AFG"
"Chad","Afghanistan",NA,"TCD","AFG"
"Channel Islands","Afghanistan",NA,"","AFG"
"Chile","Afghanistan",NA,"CHL","AFG"
"China","Afghanistan",NA,"CHN","AFG"
"Colombia","Afghanistan",NA,"COL","AFG"
"Comoros","Afghanistan",NA,"COM","AFG"
"Congo, Dem. Rep.","Afghanistan",NA,"COD","AFG"
"Congo, Rep.","Afghanistan",NA,"COG","AFG"
"Costa Rica","Afghanistan",NA,"CRI","AFG"
"Côte d'Ivoire","Afghanistan",NA,"CIV","AFG"
"Croatia","Afghanistan",NA,"HRV","AFG"
"Cuba","Afghanistan",NA,"CUB","AFG"
"Cyprus","Afghanistan",NA,"CYP","AFG"
"Czech Republic","Afghanistan",NA,"CZE","AFG"
"Denmark","Afghanistan",NA,"DNK","AFG"
"Djibouti","Afghanistan",NA,"DJI","AFG"
"Dominica","Afghanistan",NA,"DMA","AFG"
"Dominican Republic","Afghanistan",NA,"DOM","AFG"
"Ecuador","Afghanistan",NA,"ECU","AFG"
"Egypt, Arab Rep.","Afghanistan",NA,"EGY","AFG"
"El Salvador","Afghanistan",NA,"SLV","AFG"
"Equatorial Guinea","Afghanistan",NA,"GNQ","AFG"
"Eritrea","Afghanistan",NA,"ERI","AFG"
"Estonia","Afghanistan",NA,"EST","AFG"
"Ethiopia","Afghanistan",NA,"ETH","AFG"
"Faeroe Islands","Afghanistan",NA,"FRO","AFG"
"Fiji","Afghanistan",NA,"FJI","AFG"
"Finland","Afghanistan",NA,"FIN","AFG"
"France","Afghanistan",NA,"FRA","AFG"
"French Polynesia","Afghanistan",NA,"PYF","AFG"
"Gabon","Afghanistan",NA,"GAB","AFG"
"Gambia, The","Afghanistan",NA,"GMB","AFG"
"Georgia","Afghanistan",NA,"GEO","AFG"
"Germany","Afghanistan",NA,"DEU","AFG"
"Ghana","Afghanistan",NA,"GHA","AFG"
"Gibraltar","Afghanistan",NA,"GIB","AFG"
"Greece","Afghanistan",NA,"GRC","AFG"
"Greenland","Afghanistan",NA,"GRL","AFG"
"Grenada","Afghanistan",NA,"GRD","AFG"
"Guam","Afghanistan",NA,"GUM","AFG"
"Guatemala","Afghanistan",NA,"GTM","AFG"
"Guinea","Afghanistan",NA,"GIN","AFG"
"Guinea-Bissau","Afghanistan",NA,"GNB","AFG"
"Guyana","Afghanistan",NA,"GUY","AFG"
"Haiti","Afghanistan",NA,"HTI","AFG"
"Honduras","Afghanistan",NA,"HND","AFG"
"Hong Kong, China","Afghanistan",NA,"HKG","AFG"
"Hungary","Afghanistan",NA,"HUN","AFG"
"Iceland","Afghanistan",NA,"ISL","AFG"
"India","Afghanistan",NA,"IND","AFG"
"Indonesia","Afghanistan",NA,"IDN","AFG"
"Iran, Islamic Rep.","Afghanistan",NA,"IRN","AFG"
"Iraq","Afghanistan",NA,"IRQ","AFG"
"Ireland","Afghanistan",NA,"IRL","AFG"
"Isle of Man","Afghanistan",NA,"IMN","AFG"
"Israel","Afghanistan",NA,"ISR","AFG"
"Italy","Afghanistan",NA,"ITA","AFG"
"Jamaica","Afghanistan",NA,"JAM","AFG"
"Japan","Afghanistan",NA,"JPN","AFG"
"Jordan","Afghanistan",NA,"JOR","AFG"
"Kazakhstan","Afghanistan",NA,"KAZ","AFG"
"Kenya","Afghanistan",NA,"KEN","AFG"
"Kiribati","Afghanistan",NA,"KIR","AFG"
"Korea, Dem. Rep.","Afghanistan",NA,"PRK","AFG"
"Korea, Rep.","Afghanistan",NA,"KOR","AFG"
"Kosovo","Afghanistan",NA,"KOS","AFG"
"Kuwait","Afghanistan",NA,"KWT","AFG"
"Kyrgyz Republic","Afghanistan",NA,"KGZ","AFG"
"Lao PDR","Afghanistan",NA,"LAO","AFG"
"Latvia","Afghanistan",NA,"LVA","AFG"
"Lebanon","Afghanistan",NA,"LBN","AFG"
"Lesotho","Afghanistan",NA,"LSO","AFG"
"Liberia","Afghanistan",NA,"LBR","AFG"
"Libya","Afghanistan",NA,"LBY","AFG"
"Liechtenstein","Afghanistan",NA,"LIE","AFG"
"Lithuania","Afghanistan",NA,"LTU","AFG"
"Luxembourg","Afghanistan",NA,"LUX","AFG"
"Macao, China","Afghanistan",NA,"MAC","AFG"
"Macedonia, FYR","Afghanistan",NA,"MKD","AFG"
"Madagascar","Afghanistan",NA,"MDG","AFG"
"Malawi","Afghanistan",NA,"MWI","AFG"
"Malaysia","Afghanistan",NA,"MYS","AFG"
"Maldives","Afghanistan",NA,"MDV","AFG"
"Mali","Afghanistan",NA,"MLI","AFG"
"Malta","Afghanistan",NA,"MLT","AFG"
"Marshall Islands","Afghanistan",NA,"MHL","AFG"
"Mauritania","Afghanistan",NA,"MRT","AFG"
"Mauritius","Afghanistan",NA,"MUS","AFG"
"Mayotte","Afghanistan",NA,"MYT","AFG"
"Mexico","Afghanistan",NA,"MEX","AFG"
"Micronesia, Fed. Sts.","Afghanistan",NA,"FSM","AFG"
"Moldova","Afghanistan",NA,"MDA","AFG"
"Monaco","Afghanistan",NA,"MCO","AFG"
"Mongolia","Afghanistan",NA,"MNG","AFG"
"Montenegro","Afghanistan",NA,"MNE","AFG"
"Morocco","Afghanistan",NA,"MAR","AFG"
"Mozambique","Afghanistan",NA,"MOZ","AFG"
"Myanmar","Afghanistan",NA,"MMR","AFG"
"Namibia","Afghanistan",NA,"NAM","AFG"
"Nepal","Afghanistan",NA,"NPL","AFG"
"Netherlands","Afghanistan",NA,"NLD","AFG"
