"from","to","n","from_iso","to_iso","nd","PERC","NDX"
"Afghanistan","Afghanistan",NA,"AFG","AFG",0.582658705,NA,NA
"Albania","Afghanistan",NA,"ALB","AFG",0.332708616,NA,NA
"Algeria","Afghanistan",NA,"DZA","AFG",0.332497303,NA,NA
"American Samoa","Afghanistan",NA,"ASM","AFG",NA,NA,NA
"Andorra","Afghanistan",NA,"AND","AFG",NA,NA,NA
"Angola","Afghanistan",NA,"AGO","AFG",0.515639404,NA,NA
"Antigua and Barbuda","Afghanistan",NA,"ATG","AFG",0.410103328,NA,NA
"Argentina","Afghanistan",NA,"ARG","AFG",0.262239067,NA,NA
"Armenia","Afghanistan",NA,"ARM","AFG",0.29721401,NA,NA
"Aruba","Afghanistan",NA,"ABW","AFG",NA,NA,NA
"Australia","Afghanistan",NA,"AUS","AFG",0.238866553,NA,NA
"Austria","Afghanistan",NA,"AUT","AFG",0.194990141,NA,NA
"Azerbaijan","Afghanistan",NA,"AZE","AFG",0.292860758,NA,NA
"Bahamas, The","Afghanistan",NA,"BHS","AFG",0.3484318,NA,NA
"Bahrain","Afghanistan",NA,"BHR","AFG",0.338698428,NA,NA
"Bangladesh","Afghanistan",NA,"BGD","AFG",0.495135268,NA,NA
"Barbados","Afghanistan",NA,"BRB","AFG",0.351954265,NA,NA
"Belarus","Afghanistan",NA,"BLR","AFG",0.230041615,NA,NA
"Belgium","Afghanistan",NA,"BEL","AFG",0.205225833,NA,NA
"Belize","Afghanistan",NA,"BLZ","AFG",0.293049515,NA,NA
"Benin","Afghanistan",NA,"BEN","AFG",0.517243631,NA,NA
"Bermuda","Afghanistan",NA,"BMU","AFG",NA,NA,NA
"Bhutan","Afghanistan",NA,"BTN","AFG",0.422441886,NA,NA
"Bolivia","Afghanistan",NA,"BOL","AFG",0.378167921,NA,NA
"Bosnia and Herzegovina","Afghanistan",NA,"BIH","AFG",0.2722268,NA,NA
"Botswana","Afghanistan",NA,"BWA","AFG",0.421447167,NA,NA
"Brazil","Afghanistan",NA,"BRA","AFG",0.295596157,NA,NA
"Brunei Darussalam","Afghanistan",NA,"BRN","AFG",0.302437937,NA,NA
"Bulgaria","Afghanistan",NA,"BGR","AFG",0.223077829,NA,NA
"Burkina Faso","Afghanistan",NA,"BFA","AFG",0.533261358,NA,NA
"Burundi","Afghanistan",NA,"BDI","AFG",0.589934385,NA,NA
"Cambodia","Afghanistan",NA,"KHM","AFG",0.49951571,NA,NA
"Cameroon","Afghanistan",NA,"CMR","AFG",0.474332679,NA,NA
"Canada","Afghanistan",NA,"CAN","AFG",0.233574656,NA,NA
"Cape Verde","Afghanistan",NA,"CPV","AFG",0.349308351,NA,NA
"Cayman Islands","Afghanistan",NA,"CYM","AFG",NA,NA,NA
"Central African Republic","Afghanistan",NA,"CAF","AFG",0.578744904,NA,NA
"Chad","Afghanistan",NA,"TCD","AFG",0.544175509,NA,NA
"Channel Islands","Afghanistan",NA,"","AFG",NA,NA,NA
"Chile","Afghanistan",NA,"CHL","AFG",0.282457473,NA,NA
"China","Afghanistan",NA,"CHN","AFG",0.303023198,NA,NA
"Colombia","Afghanistan",NA,"COL","AFG",0.29815216,NA,NA
"Comoros","Afghanistan",NA,"COM","AFG",0.460379667,NA,NA
"Congo, Dem. Rep.","Afghanistan",NA,"COD","AFG",0.571658773,NA,NA
"Congo, Rep.","Afghanistan",NA,"COG","AFG",0.488770024,NA,NA
"Costa Rica","Afghanistan",NA,"CRI","AFG",0.342986709,NA,NA
"Côte d'Ivoire","Afghanistan",NA,"CIV","AFG",0.502742155,NA,NA
"Croatia","Afghanistan",NA,"HRV","AFG",0.2074084,NA,NA
"Cuba","Afghanistan",NA,"CUB","AFG",0.386899275,NA,NA
"Cyprus","Afghanistan",NA,"CYP","AFG",0.226918286,NA,NA
"Czech Republic","Afghanistan",NA,"CZE","AFG",0.167790564,NA,NA
"Denmark","Afghanistan",NA,"DNK","AFG",0.144967624,NA,NA
"Djibouti","Afghanistan",NA,"DJI","AFG",0.452671246,NA,NA
"Dominica","Afghanistan",NA,"DMA","AFG",0.40126814,NA,NA
"Dominican Republic","Afghanistan",NA,"DOM","AFG",0.398649596,NA,NA
"Ecuador","Afghanistan",NA,"ECU","AFG",0.316319862,NA,NA
"Egypt, Arab Rep.","Afghanistan",NA,"EGY","AFG",0.283767746,NA,NA
"El Salvador","Afghanistan",NA,"SLV","AFG",0.383533774,NA,NA
"Equatorial Guinea","Afghanistan",NA,"GNQ","AFG",0.425928626,NA,NA
"Eritrea","Afghanistan",NA,"ERI","AFG",0.496463053,NA,NA
"Estonia","Afghanistan",NA,"EST","AFG",0.252987409,NA,NA
"Ethiopia","Afghanistan",NA,"ETH","AFG",0.547400573,NA,NA
"Faeroe Islands","Afghanistan",NA,"FRO","AFG",NA,NA,NA
"Fiji","Afghanistan",NA,"FJI","AFG",0.421671115,NA,NA
"Finland","Afghanistan",NA,"FIN","AFG",0.189396599,NA,NA
"France","Afghanistan",NA,"FRA","AFG",0.150847644,NA,NA
"French Polynesia","Afghanistan",NA,"PYF","AFG",NA,NA,NA
