"from","from_iso","cwi"
"Afghanistan","AFG",0.214736124183263
"Albania","ALB",0.214354667457996
"Algeria","DZA",0.200515727802088
"American Samoa","ASM",0.20706869817166
"Angola","AGO",0.223492683228497
"Anguilla","AIA",0.29729684076867
"Antigua and Barbuda","ATG",0.258556195019719
"Argentina","ARG",0.257418623745987
"Armenia","ARM",0.254392320177882
"Aruba","ABW",0.337230281054584
"Azerbaijan","AZE",0.254056848839647
"Bahamas","BHS",0.162443681616352
"Bahrain","BHR",0.322809564764913
"Bangladesh","BGD",0.153477107789641
"Barbados","BRB",0.231784955870295
"Belarus","BLR",0.0672930325686455
"Australia","AUS",0.229587415079869
"Austria","AUT",0.209780327142664
"Belize","BLZ",0.287977801472592
"Benin","BEN",0.209425957347845
"Bermuda","BMU",0.168817048418271
"Plurinational State of Bolivia ","BOL",0.290071826502365
"Bosnia and Herzegovina","BIH",0.174438264524196
"Botswana","BWA",0.485509254495419
"British Indian Ocean","IOT",0.248076558528215
"British Virgin Islands","VGB",0.146603837815469
"Brunei Darussalam","BRN",0.344936216754578
"Burkina Faso","BFA",0.261317826171096
"Burundi","BDI",0.189305119953132
"Belgium","BEL",0.177052804566454
"Brazil","BRA",0.180044683927375
"Bulgaria","BGR",0.198584835437178
"Cambodia","KHM",0.267343340905226
"Cameroon","CMR",0.168892141684343
"Cape Verde","CPV",0.205209199178144
"Cayman Islands","CYM",0.224121549062276
"Central African Republic","CAF",0.211710304
"Chad","TCD",0.206325133268011
"Christmas Island","CXR",0.129131919
"Comoros","COM",0
"Congo","COG",0.160763908804128
"Cook Islands","COK",0.000525260698883781
"Côte d' Ivoire","CIV",0.19122985364591
"Democratic Republic of Congo","COD",0.283677076661652
"Canada","CAN",0.195843802640899
"Chile","CHL",0.24738110446354
"China","CHN",0.0964635596691085
"Colombia","COL",0.179506815817154
"Costa Rica","CRI",0.253900823463134
"Croatia","HRV",0.229371355743937
"cyprus","CYP",0.215839384895303
"Czech","CZE",0.212135262233092
"Djibouti","DJI",0
"Dominica","DMA",0.188520360451049
"Dominican Republic","DOM",0.235497786096875
"Ecuador","ECU",0.275798158525503
"Egypt","EGY",0.317172201317787
"Equatorial Guinea","GNQ",0.232696825158259
"Eritrea","ERI",0.155946741552485
"Ethiopia","ETH",0.210718232747728
"Denmark","DNK",0.204726754713942
"El Salvador","SLV",0.59219705281746
"Estonia","EST",0.24387840127898
