Country code,Country name,HDI
ABW,Aruba,
AFG,Afghanistan,0.467886421126848
AGO,Angola,0.526293238240603
ALB,Albania,0.716099963779507
ANT,Netherlands Antilles,
ARE,United Arab Emirates,0.827169399784711
ARG,Argentina,0.808304171317885
ARM,Armenia,0.730092606075837
ATG,Antigua and Barbuda,0.774010047304126
AUS,Australia,0.93266211510542
AUT,Austria,0.881209839263344
AZE,Azerbaijan,0.74737287180882
BDI,Burundi,0.389443495127542
BEL,Belgium,0.880780038064078
BEN,Benin,0.475724489006152
BFA,Burkina Faso,0.388355142864471
BGD,Bangladesh,0.557894873266662
BGR,Bulgaria,0.777361921851794
BHR,Bahrain,0.815328887982138
BHS,Bahamas,0.789361161859607
BIH,Bosnia and Herzegovina,0.730806615519731
BLR,Belarus,0.785807784247101
BLZ,Belize,0.731598826635094
BMU,Bermuda,
BOL,Bolivia,0.667281963238646
BRA,Brazil,0.743640439102343
BRB,Barbados,0.776212433462368
BRN,Brunei Darussalam,0.851822888226339
BTN,Bhutan,0.584131601980695
BVT,Bouvet Island,
BWA,Botswana,0.683298400899883
CAF,Central African Republic,0.340530672501302
CAN,Canada,0.901851575242719
CHE,Switzerland,0.917394316933513
CHL,Chile,0.821583889802742
CHN,China,0.719080606817142
CIV,Cote d'Ivoire,0.451993972928411
CMR,Cameroon,0.504376676764851
COD,Democratic Republic of the Congo,0.337920072859417
COG,Congo,0.564090850955486
COL,Colombia,0.710733782957863
COM,Comoros,0.487702549691347
CPV,Cape Verde,0.635861571714661
CRI,Costa Rica,0.762537255894071
CUB,Cuba,0.814962921323418
CYM,Cayman Islands,
CYP,Cyprus,0.845018727370998
CZE,Czech Republic,0.861342063904772
DEU,Germany,0.911436942000614
DJI,Djibouti,0.467419308754633
DMA,Dominica,0.716900420088325
DNK,Denmark,0.900460725286448
DOM,Dominican Republic,0.700154168146633
DZA,Algeria,0.71664618456661
ECU,Ecuador,0.710636995950365
EGY,Egypt,0.681578148623049
ERI,Eritrea,0.380951041711241
ESP,Spain,0.868910783796001
EST,Estonia,0.839900810809903
ETH,Ethiopia,0.435139449354183
FIN,Finland,0.879024287078754
FJI,Fiji,0.724081793763448
FRA,France,0.884325552004362
FRO,Faroe Islands,
FSM,"Micronesia, Federated States of",0.630392716353917
GAB,Gabon,0.673682390547929
GBR,United Kingdom,0.891725911002765
GEO,Georgia,0.743770121026052
GHA,Ghana,0.573205905264549
GIN,Guinea,0.391868518986384
GMB,Gambia,0.440714961099446
GNB,Guinea-Bissau,0.395648966371962
GNQ,Equatorial Guinea,0.555967345909364
GRC,Greece,0.852664377641854
GRD,Grenada,0.743957270564186
GTM,Guatemala,0.628080107457158
